X,Y,ObjectId,stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,platform_code,GlobalID
16.622603,49.2570470000001,10210,U1235N3107,Klarisky,49.257047,16.622603,101,1,,0\,,{F4B31A2D-AEF9-4BD8-975E-36732B4BFEBB}
16.4953090000001,49.215696,10211,U1221N3108,Kamechy,49.215696,16.495309,101,1,,0\,,{DC14F0C0-8B82-462F-8EDD-3643B591557C}
16.4997990000001,49.2148520000001,10212,U1185N3109,Chvalovka,49.214852,16.499799,101,1,,1\,,{125E9BA0-4D85-4051-9730-ACAA15692A77}
16.500685,49.216645,10213,U1230N3110,Kavčí,49.216645,16.500685,101,1,,2\,,{FB7104B5-8E97-4DC7-AEF2-A22DD6D96BBC}
16.497466,49.2185700000001,10214,U1559N3111,Říčanská,49.21857,16.497466,101,1,,1\,,{CC452592-DE4F-4503-AD55-4DE04B97509C}
16.519955,49.2183390000001,10215,U1004N3112,Adamcova,49.218339,16.519955,101,1,,2\,,{C1F25333-5824-4D88-A0FD-F8287B16A170}
16.5216820000001,49.215221,10216,U1648N3113,Štouračova,49.215221,16.521682,101,1,,2\,,{832F7843-9105-44C8-A899-54F39F5C4C73}
16.615758,49.1715380000001,10217,U1308N3114,Kšírova,49.171538,16.615758,101,1,,1\,,{A1415036-E311-4D06-A844-3EDDD7AD1092}
16.6100500000001,49.164637,10218,U1275N3115,Košuličova,49.164637,16.61005,101,1,,2\,,{9976D794-B177-46A2-A896-C7E53BA88F47}
16.6026210000001,49.1628880000001,10219,U1514N3116,Pražákova,49.162888,16.602621,101,1,,1\,,{75C99DD8-77A9-4773-8165-F305256DB432}
16.5171120000001,49.1992950000001,10220,U1608N3117,Stará dálnice,49.199295,16.517112,101,1,,2\,,{3B2112F0-32FC-468E-B874-901892FC36C9}
16.560144,49.211889,10221,U1215N3118,Jundrovská,49.211889,16.560144,101,1,,1\,,{B94065F2-F23D-4D23-ABA3-6457F2B6300E}
16.6293910000001,49.2233450000001,10222,U1138N3119,Heleny Malířové,49.223345,16.629391,101,1,,2\,,{723A41B5-A51A-4B37-99AE-92671CBD81CC}
16.6306520000001,49.2259770000001,10223,U1008N3120,Arbesova,49.225977,16.630652,101,1,,2\,,{7435585A-3AC5-4537-8179-CFD70C458DBC}
16.6310320000001,49.230083,10224,U1028N3121,Blažkova,49.230083,16.631032,101,1,,2\,,{06BFDCFA-BCE6-4DA2-B016-A95117553FEE}
16.6293220000001,49.233751,10225,U1043N3122,Brechtova,49.233751,16.629322,101,1,,2\,,{C6A22734-B150-44F7-B7E8-2FCE6F6E9A30}
16.624466,49.2336570000001,10226,U1132N3123,Haškova,49.233657,16.624466,101,1,,1\,,{5AB83DE4-D229-46C0-AF92-D2EDC67705FF}
16.619445,49.231973,10227,U1348N3124,Loosova,49.231973,16.619445,101,1,,2\,,{CB46376A-C113-4FEA-B1C8-87A6FA9029C1}
16.6168970000001,49.229226,10228,U1111N3125,Fillova,49.229226,16.616897,101,1,,2\,,{7E821E1D-01EA-4D0A-B9A9-953792C08048}
16.617936,49.2259550000001,10229,U1582N3126,Slavíčkova,49.225955,16.617936,101,1,,2\,,{AC0A9FF3-4098-4E3E-80B7-795044199772}
16.6157010000001,49.2095150000001,10230,U1100N3127,Erbenova,49.209515,16.615701,100,1,,1\,,{54DF4C16-7933-40DB-8C94-8F68C53F98A4}
16.6417660000001,49.1746600000001,10231,U1127N3128,Hájecká,49.17466,16.641766,101,1,,2\,,{D0D969A6-67FA-44B3-8764-46918CF9B08F}
16.6455290000001,49.1727470000001,10232,U1737N3129,Vinohradská,49.172747,16.645529,101,1,,1\,,{709042C5-FA23-4845-9B74-F519C029D139}
16.647909,49.1699570000001,10233,U1612N3130,Staré Černovice,49.169957,16.647909,101,1,,2\,,{FA179E5F-26E1-400F-AB90-A60097A34C59}
16.61513,49.134054,10234,U15141N3131,"Modřice, Žižkova",49.134054,16.61513,510,1,,2\,,{CA030F1E-32D3-4852-9A7C-0D9F093C89F3}
