# Data,Probability
1.261707038236386185e-06,0.000000000000000000e+00
1.416425520939016212e-06,4.001600640256102706e-04
2.121814941293337723e-06,8.003201280512205413e-04
2.128663033620688480e-06,1.200480192076830649e-03
2.222381945987398311e-06,1.600640256102441083e-03
2.417118021377064501e-06,2.000800320128051299e-03
2.783776239023211904e-06,2.400960384153661299e-03
2.795670248509336415e-06,2.801120448179271732e-03
2.841687368226825429e-06,3.201280512204882165e-03
2.852727550626779826e-06,3.601440576230492165e-03
3.305707059828104988e-06,4.001600640256102598e-03
3.329644153205917342e-06,4.401760704281713031e-03
3.834415988304718466e-06,4.801920768307322597e-03
3.838084431475980530e-06,5.202080832332933030e-03
3.846062060476060811e-06,5.602240896358543464e-03
3.874807269869296943e-06,6.002400960384153897e-03
3.877216660798165704e-06,6.402561024409764330e-03
3.884429574832535501e-06,6.802721088435373896e-03
4.091489382417020095e-06,7.202881152460984329e-03
4.236774999602222931e-06,7.603041216486594762e-03
4.341659582774804330e-06,8.003201280512205196e-03
4.540570703013096310e-06,8.403361344537814762e-03
5.039572964648702479e-06,8.803521408563426062e-03
5.052326095592629355e-06,9.203681472589035628e-03
5.149128196594089181e-06,9.603841536614645194e-03
5.156773030460393018e-06,1.000400160064025649e-02
5.306907407842931868e-06,1.040416166466586606e-02
5.457711149591764280e-06,1.080432172869147736e-02
5.472348250688459493e-06,1.120448179271708693e-02
5.596178483445280003e-06,1.160464185674269649e-02
5.709003442783171203e-06,1.200480192076830779e-02
5.791930231204307365e-06,1.240496198479391736e-02
5.862239086801523643e-06,1.280512204881952866e-02
6.144333610018942550e-06,1.320528211284513823e-02
6.188630892581615347e-06,1.360544217687074779e-02
6.382594421029357821e-06,1.400560224089635909e-02
6.422521785157772232e-06,1.440576230492196866e-02
6.478716944712650283e-06,1.480592236894757822e-02
6.523990319344311966e-06,1.520608243297318952e-02
6.557847777190336891e-06,1.560624249699879909e-02
6.581760985625387780e-06,1.600640256102441039e-02
6.677141113459657193e-06,1.640656262505002169e-02
6.780568560550885895e-06,1.680672268907562952e-02
6.787777752916300147e-06,1.720688275310124082e-02
6.875496081234647756e-06,1.760704281712685212e-02
6.907512339426069761e-06,1.800720288115245996e-02
6.926958025072711438e-06,1.840736294517807126e-02
7.244744524749230718e-06,1.880752300920368256e-02
7.250665651802383202e-06,1.920768307322929039e-02
7.468159222709311758e-06,1.960784313725490169e-02
7.670004027115884842e-06,2.000800320128051299e-02
7.741495423173447291e-06,2.040816326530612082e-02
8.113009060400687577e-06,2.080832332933173212e-02
8.167960224220816517e-06,2.120848339335734342e-02
8.307308648681101831e-06,2.160864345738295472e-02
8.419859596831904966e-06,2.200880352140856255e-02
8.441764046912222748e-06,2.240896358543417385e-02
8.560407839954104243e-06,2.280912364945978515e-02
8.671312898790062656e-06,2.320928371348539299e-02
8.793198275839362780e-06,2.360944377751100429e-02
8.850972303683475598e-06,2.400960384153661559e-02
8.951750634524940055e-06,2.440976390556222342e-02
8.956594258311747155e-06,2.480992396958783472e-02
9.019418915764119111e-06,2.521008403361344602e-02
9.206854410785128711e-06,2.561024409763905732e-02
9.402090173934273931e-06,2.601040416166466515e-02
9.571414323053676406e-06,2.641056422569027645e-02
9.636941573438157375e-06,2.681072428971588775e-02
9.720364148724790107e-06,2.721088435374149558e-02
9.747337128073878896e-06,2.761104441776710688e-02
9.756895025840362328e-06,2.801120448179271819e-02
9.853324151890088697e-06,2.841136454581832602e-02
9.880438726617622082e-06,2.881152460984393732e-02
9.929103386938375013e-06,2.921168467386954862e-02
9.934639387589933433e-06,2.961184473789515645e-02
9.981389649090080990e-06,3.001200480192076775e-02
1.006860039992157344e-05,3.041216486594637905e-02
1.010948469582382044e-05,3.081232492997199035e-02
1.012401033137151740e-05,3.121248499399759818e-02
1.014494064684579322e-05,3.161264505802320601e-02
1.039536406292967107e-05,3.201280512204882078e-02
1.049749425300928781e-05,3.241296518607442861e-02
1.049821627594268116e-05,3.281312525010004338e-02
1.049892051425764969e-05,3.321328531412565122e-02
1.057857644166612811e-05,3.361344537815125905e-02
1.071489254478198056e-05,3.401360544217687382e-02
1.073470424881166600e-05,3.441376550620248165e-02
1.075401287428758440e-05,3.481392557022808948e-02
1.080637551862599538e-05,3.521408563425370425e-02
1.081545641626314552e-05,3.561424569827931208e-02
1.088486114606612537e-05,3.601440576230491991e-02
1.100493757586343649e-05,3.641456582633053468e-02
1.124278151092426309e-05,3.681472589035614251e-02
1.135320660956763800e-05,3.721488595438175034e-02
1.159846741586646056e-05,3.761504601840736511e-02
1.174042679466118785e-05,3.801520608243297294e-02
1.197946771758030135e-05,3.841536614645858078e-02
1.201652378919580846e-05,3.881552621048419555e-02
1.209482025947177673e-05,3.921568627450980338e-02
1.216949394358392573e-05,3.961584633853541121e-02
1.218718609426543188e-05,4.001600640256102598e-02
1.221523197382531523e-05,4.041616646658663381e-02
1.225519592906665212e-05,4.081632653061224164e-02
1.226334069522742061e-05,4.121648659463785641e-02
1.232202073093223806e-05,4.161664665866346424e-02
1.235301499901210158e-05,4.201680672268907901e-02
1.238987023553442048e-05,4.241696678671468684e-02
1.246517707883689287e-05,4.281712685074029467e-02
1.246805214163926935e-05,4.321728691476590944e-02
1.281978906168819191e-05,4.361744697879151728e-02
1.287706096371886234e-05,4.401760704281712511e-02
1.290002391876412525e-05,4.441776710684273988e-02
1.301779372036663079e-05,4.481792717086834771e-02
1.302593359278968794e-05,4.521808723489395554e-02
1.311976710159944959e-05,4.561824729891957031e-02
1.329102321356490885e-05,4.601840736294517814e-02
1.333122213832933064e-05,4.641856742697078597e-02
1.342953837446601846e-05,4.681872749099640074e-02
1.350749977720901066e-05,4.721888755502200857e-02
1.363304817405787883e-05,4.761904761904761640e-02
1.376204119010846620e-05,4.801920768307323117e-02
1.380769708341237594e-05,4.841936774709883901e-02
1.384716292491356732e-05,4.881952781112444684e-02
1.393431592343382232e-05,4.921968787515006161e-02
1.403313451169093059e-05,4.961984793917566944e-02
1.419704989087095666e-05,5.002000800320127727e-02
1.420313475693634907e-05,5.042016806722689204e-02
1.427256559996414519e-05,5.082032813125249987e-02
1.454883074031133168e-05,5.122048819527811464e-02
1.462124335951577121e-05,5.162064825930372247e-02
1.469487481255798742e-05,5.202080832332933030e-02
1.470515878462175504e-05,5.242096838735494507e-02
1.482404606877288337e-05,5.282112845138055290e-02
1.490098960711037372e-05,5.322128851540616074e-02
1.513106732432005003e-05,5.362144857943177551e-02
1.521080955920026375e-05,5.402160864345738334e-02
1.525850057878992671e-05,5.442176870748299117e-02
1.536519030103608460e-05,5.482192877150860594e-02
1.543735066776252921e-05,5.522208883553421377e-02
1.553343640428995857e-05,5.562224889955982160e-02
1.566560818885413028e-05,5.602240896358543637e-02
1.568517138799989174e-05,5.642256902761104420e-02
1.570951436743415206e-05,5.682272909163665203e-02
1.572495714886899332e-05,5.722288915566226680e-02
1.574865076263283313e-05,5.762304921968787463e-02
1.576454109293274844e-05,5.802320928371348246e-02
1.577514346957480671e-05,5.842336934773909723e-02
1.581569606914723049e-05,5.882352941176470507e-02
1.589338242684863357e-05,5.922368947579031290e-02
1.592076600266819657e-05,5.962384953981592767e-02
1.592602268094713675e-05,6.002400960384153550e-02
1.600273719853397185e-05,6.042416966786715027e-02
1.603060555775089304e-05,6.082432973189275810e-02
1.604507203970945682e-05,6.122448979591836593e-02
1.604941032703633761e-05,6.162464985994398070e-02
1.606570329947140134e-05,6.202480992396958853e-02
1.613041848862699826e-05,6.242496998799519636e-02
1.613878515179803928e-05,6.282513005202081113e-02
1.618160512765236939e-05,6.322529011604641203e-02
1.622168444783430888e-05,6.362545018007202680e-02
1.625680481861263124e-05,6.402561024409764157e-02
1.630884492882561567e-05,6.442577030812324246e-02
1.637620571284430167e-05,6.482593037214885723e-02
1.638644385690401898e-05,6.522609043617447200e-02
1.643683471451736798e-05,6.562625050020008677e-02
1.647068958517193364e-05,6.602641056422568766e-02
1.650927262030965899e-05,6.642657062825130243e-02
1.672819567910016110e-05,6.682673069227691720e-02
1.677118629192467534e-05,6.722689075630251809e-02
1.683591783264954417e-05,6.762705082032813286e-02
1.694387714890840493e-05,6.802721088435374763e-02
1.697943161491864209e-05,6.842737094837934853e-02
1.710775141446191000e-05,6.882753101240496330e-02
1.712796968894824185e-05,6.922769107643057807e-02
1.713384616869561474e-05,6.962785114045617896e-02
1.724056650035713003e-05,7.002801120448179373e-02
1.724495686785430598e-05,7.042817126850740850e-02
1.725684963792063932e-05,7.082833133253300939e-02
1.729218814020665738e-05,7.122849139655862416e-02
1.743558440400530597e-05,7.162865146058423893e-02
1.746444414653111832e-05,7.202881152460983982e-02
1.749598919687007738e-05,7.242897158863545459e-02
1.759676299550609662e-05,7.282913165266106936e-02
1.761061749792974809e-05,7.322929171668667025e-02
1.763853778019038761e-05,7.362945178071228503e-02
1.778935795651963168e-05,7.402961184473789980e-02
1.779729410964272306e-05,7.442977190876350069e-02
1.788521424793291446e-05,7.482993197278911546e-02
1.789224262105452426e-05,7.523009203681473023e-02
1.792059599483327678e-05,7.563025210084033112e-02
1.793313506112289549e-05,7.603041216486594589e-02
1.798346593147063526e-05,7.643057222889156066e-02
1.806074534156775155e-05,7.683073229291716155e-02
