# Data,Probability
2.680884767603635907e-02,0.000000000000000000e+00
2.979182441273952459e-02,4.001600640256102706e-04
3.219159874224100659e-02,8.003201280512205413e-04
3.319274097794631950e-02,1.200480192076830649e-03
3.625872190343145535e-02,1.600640256102441083e-03
3.725133418535862134e-02,2.000800320128051299e-03
4.094705875399356348e-02,2.400960384153661299e-03
4.142332935716112885e-02,2.801120448179271732e-03
4.213431064264234333e-02,3.201280512204882165e-03
4.355721856159670141e-02,3.601440576230492165e-03
4.461220548966151472e-02,4.001600640256102598e-03
4.488576115637177982e-02,4.401760704281713031e-03
4.560005265804786823e-02,4.801920768307322597e-03
4.590944134141711208e-02,5.202080832332933030e-03
4.607114316480337424e-02,5.602240896358543464e-03
4.630073569089882685e-02,6.002400960384153897e-03
4.639044246485955064e-02,6.402561024409764330e-03
4.743694542190152186e-02,6.802721088435373896e-03
4.781279918928462574e-02,7.202881152460984329e-03
4.860952766422124011e-02,7.603041216486594762e-03
4.901419348248962915e-02,8.003201280512205196e-03
4.918961894916454997e-02,8.403361344537814762e-03
4.931809929547094351e-02,8.803521408563426062e-03
4.994215867527534991e-02,9.203681472589035628e-03
4.999910542116686035e-02,9.603841536614645194e-03
5.078309813488936925e-02,1.000400160064025649e-02
5.097137450316779894e-02,1.040416166466586606e-02
5.211178275547065364e-02,1.080432172869147736e-02
5.258375448469627261e-02,1.120448179271708693e-02
5.328953704331354513e-02,1.160464185674269649e-02
5.339200244916908478e-02,1.200480192076830779e-02
5.347560981396659585e-02,1.240496198479391736e-02
5.382313147122783081e-02,1.280512204881952866e-02
5.435919822333813711e-02,1.320528211284513823e-02
5.466864074706330456e-02,1.360544217687074779e-02
5.576589202273483925e-02,1.400560224089635909e-02
5.592530836113310255e-02,1.440576230492196866e-02
5.636586699028020564e-02,1.480592236894757822e-02
5.656750663248983485e-02,1.520608243297318952e-02
5.765107014183171175e-02,1.560624249699879909e-02
5.858385585969906606e-02,1.600640256102441039e-02
5.875732672084692243e-02,1.640656262505002169e-02
5.932894212032883974e-02,1.680672268907562952e-02
5.962606650026754107e-02,1.720688275310124082e-02
6.005515371398869456e-02,1.760704281712685212e-02
6.042513304085448539e-02,1.800720288115245996e-02
6.063850179168780996e-02,1.840736294517807126e-02
6.128291106386855175e-02,1.880752300920368256e-02
6.161109689429448977e-02,1.920768307322929039e-02
6.178859455076325669e-02,1.960784313725490169e-02
6.184082483863936885e-02,2.000800320128051299e-02
6.227461965795803162e-02,2.040816326530612082e-02
6.231771169719327319e-02,2.080832332933173212e-02
6.240950084997386182e-02,2.120848339335734342e-02
6.291605821160385636e-02,2.160864345738295472e-02
6.292346093792093586e-02,2.200880352140856255e-02
6.303485965984566286e-02,2.240896358543417385e-02
6.334120672522026985e-02,2.280912364945978515e-02
6.394383594540185844e-02,2.320928371348539299e-02
6.424244040387114274e-02,2.360944377751100429e-02
6.424666430534824169e-02,2.400960384153661559e-02
6.433390407950807799e-02,2.440976390556222342e-02
6.492389281853569449e-02,2.480992396958783472e-02
6.495077848722159708e-02,2.521008403361344602e-02
6.497130511027351951e-02,2.561024409763905732e-02
6.510625289366174517e-02,2.601040416166466515e-02
6.536332990949923760e-02,2.641056422569027645e-02
6.568252251862241597e-02,2.681072428971588775e-02
6.800814389278478367e-02,2.721088435374149558e-02
6.818471395622260900e-02,2.761104441776710688e-02
6.979691418809290393e-02,2.801120448179271819e-02
7.010710860862709448e-02,2.841136454581832602e-02
7.013253049806207617e-02,2.881152460984393732e-02
7.021020267885980104e-02,2.921168467386954862e-02
7.102534234184573747e-02,2.961184473789515645e-02
7.187812991037667576e-02,3.001200480192076775e-02
7.196875309265894638e-02,3.041216486594637905e-02
7.351841657984588274e-02,3.081232492997199035e-02
7.352861674183752694e-02,3.121248499399759818e-02
7.384460250080403243e-02,3.161264505802320601e-02
7.406083585994273355e-02,3.201280512204882078e-02
7.435064566510721229e-02,3.241296518607442861e-02
7.443958620319802988e-02,3.281312525010004338e-02
7.444193948168523201e-02,3.321328531412565122e-02
7.446496219981346698e-02,3.361344537815125905e-02
7.508408297634301676e-02,3.401360544217687382e-02
7.516625140228945512e-02,3.441376550620248165e-02
7.532640179010806347e-02,3.481392557022808948e-02
7.573750452508919151e-02,3.521408563425370425e-02
7.679317664747617456e-02,3.561424569827931208e-02
7.694803128484989374e-02,3.601440576230491991e-02
