# Data,Probability
3.389893602348395714e-03,0.000000000000000000e+00
4.923758099807704069e-03,4.001600640256102706e-04
5.058077503033412033e-03,8.003201280512205413e-04
5.259873278107685297e-03,1.200480192076830649e-03
5.700664412941104306e-03,1.600640256102441083e-03
6.632302976890093633e-03,2.000800320128051299e-03
7.235449088022343454e-03,2.400960384153661299e-03
7.862566595573527647e-03,2.801120448179271732e-03
8.307837214586446042e-03,3.201280512204882165e-03
8.397004749209964480e-03,3.601440576230492165e-03
8.651747668381988207e-03,4.001600640256102598e-03
8.756553884063671481e-03,4.401760704281713031e-03
9.265965303170160122e-03,4.801920768307322597e-03
9.900695726862793200e-03,5.202080832332933030e-03
1.005403340271450799e-02,5.602240896358543464e-03
1.042147846935178972e-02,6.002400960384153897e-03
1.062982745863622069e-02,6.402561024409764330e-03
1.077392944984504469e-02,6.802721088435373896e-03
1.082438633201714476e-02,7.202881152460984329e-03
1.090468696263850908e-02,7.603041216486594762e-03
1.124818087708545980e-02,8.003201280512205196e-03
1.127460895192039167e-02,8.403361344537814762e-03
1.167032935483591771e-02,8.803521408563426062e-03
1.194204632227361014e-02,9.203681472589035628e-03
1.199973453677568788e-02,9.603841536614645194e-03
1.200833884814097099e-02,1.000400160064025649e-02
1.216187277832152767e-02,1.040416166466586606e-02
1.250793445529422426e-02,1.080432172869147736e-02
1.250865840630729225e-02,1.120448179271708693e-02
1.298197653014309880e-02,1.160464185674269649e-02
1.317098527207323858e-02,1.200480192076830779e-02
1.317143274766941451e-02,1.240496198479391736e-02
1.323814551070054760e-02,1.280512204881952866e-02
1.330226678492385170e-02,1.320528211284513823e-02
1.345792289265560805e-02,1.360544217687074779e-02
1.358451555223122442e-02,1.400560224089635909e-02
1.361767592514221727e-02,1.440576230492196866e-02
1.423525168654311487e-02,1.480592236894757822e-02
1.433899794120422309e-02,1.520608243297318952e-02
1.449162329617590533e-02,1.560624249699879909e-02
1.465065724822958541e-02,1.600640256102441039e-02
1.478701189124655667e-02,1.640656262505002169e-02
1.481010431282665449e-02,1.680672268907562952e-02
1.507155110002996248e-02,1.720688275310124082e-02
1.513130193520905928e-02,1.760704281712685212e-02
1.572481968416243603e-02,1.800720288115245996e-02
1.594973332152727422e-02,1.840736294517807126e-02
1.604706894297144165e-02,1.880752300920368256e-02
1.605294020955112463e-02,1.920768307322929039e-02
1.613143560937671875e-02,1.960784313725490169e-02
1.620105510067042578e-02,2.000800320128051299e-02
1.623849468617756531e-02,2.040816326530612082e-02
1.631411556732992665e-02,2.080832332933173212e-02
1.646130596193158546e-02,2.120848339335734342e-02
1.661411031935255272e-02,2.160864345738295472e-02
1.683194684605190949e-02,2.200880352140856255e-02
1.736910318156097491e-02,2.240896358543417385e-02
1.739156681701180956e-02,2.280912364945978515e-02
1.743629615193837204e-02,2.320928371348539299e-02
1.750175104217177591e-02,2.360944377751100429e-02
1.753573985170278973e-02,2.400960384153661559e-02
1.776173540989983701e-02,2.440976390556222342e-02
1.784881989018457030e-02,2.480992396958783472e-02
1.798722651509791770e-02,2.521008403361344602e-02
1.846157311844440901e-02,2.561024409763905732e-02
1.877616084703489369e-02,2.601040416166466515e-02
1.880707699887899237e-02,2.641056422569027645e-02
1.883664493175052010e-02,2.681072428971588775e-02
1.900165595646942721e-02,2.721088435374149558e-02
1.930155656619160845e-02,2.761104441776710688e-02
1.934505277733401460e-02,2.801120448179271819e-02
1.955930395803021429e-02,2.841136454581832602e-02
1.980126128853876635e-02,2.881152460984393732e-02
1.983872700883835064e-02,2.921168467386954862e-02
2.020216917165715970e-02,2.961184473789515645e-02
2.062616723723712658e-02,3.001200480192076775e-02
2.067197542917611694e-02,3.041216486594637905e-02
2.088813131567418546e-02,3.081232492997199035e-02
2.113997329780116161e-02,3.121248499399759818e-02
2.124786294073997828e-02,3.161264505802320601e-02
2.137109738172728729e-02,3.201280512204882078e-02
2.167642334480198926e-02,3.241296518607442861e-02
2.177448780514639956e-02,3.281312525010004338e-02
2.196076980000942133e-02,3.321328531412565122e-02
2.250578406627723113e-02,3.361344537815125905e-02
2.254587486055209880e-02,3.401360544217687382e-02
2.258604610266295304e-02,3.441376550620248165e-02
2.271761211540000019e-02,3.481392557022808948e-02
2.273217369941735871e-02,3.521408563425370425e-02
2.292654631012160452e-02,3.561424569827931208e-02
2.298024052501689354e-02,3.601440576230491991e-02
2.302611595701120617e-02,3.641456582633053468e-02
2.314432395388016719e-02,3.681472589035614251e-02
2.319736373972491883e-02,3.721488595438175034e-02
2.329935226020136974e-02,3.761504601840736511e-02
2.339750453566913010e-02,3.801520608243297294e-02
2.339755344625511074e-02,3.841536614645858078e-02
2.342108507874638215e-02,3.881552621048419555e-02
2.363016275535277655e-02,3.921568627450980338e-02
2.406606053713608584e-02,3.961584633853541121e-02
2.476525303696905031e-02,4.001600640256102598e-02
2.485797290734254039e-02,4.041616646658663381e-02
2.487093679990879519e-02,4.081632653061224164e-02
2.514109709102890083e-02,4.121648659463785641e-02
2.516068996767566873e-02,4.161664665866346424e-02
2.522625898336948794e-02,4.201680672268907901e-02
2.570922796632877164e-02,4.241696678671468684e-02
2.572094276932992279e-02,4.281712685074029467e-02
2.595142544253941502e-02,4.321728691476590944e-02
2.614374916029053170e-02,4.361744697879151728e-02
2.632980556132300323e-02,4.401760704281712511e-02
2.637938921039136020e-02,4.441776710684273988e-02
2.645438342275480484e-02,4.481792717086834771e-02
2.646099951926865479e-02,4.521808723489395554e-02
2.666486182150201723e-02,4.561824729891957031e-02
2.667445562128884645e-02,4.601840736294517814e-02
2.680388789136283617e-02,4.641856742697078597e-02
2.737640892664296166e-02,4.681872749099640074e-02
2.768225820512250010e-02,4.721888755502200857e-02
2.772315398478994788e-02,4.761904761904761640e-02
2.796020789265161663e-02,4.801920768307323117e-02
2.801745591819019415e-02,4.841936774709883901e-02
2.820115834553483386e-02,4.881952781112444684e-02
2.848602063790319286e-02,4.921968787515006161e-02
2.861710220922235662e-02,4.961984793917566944e-02
2.865074064027187464e-02,5.002000800320127727e-02
2.876319564049993269e-02,5.042016806722689204e-02
2.892165606245144377e-02,5.082032813125249987e-02
2.900744477761994095e-02,5.122048819527811464e-02
2.923661384312591788e-02,5.162064825930372247e-02
2.923946194856804834e-02,5.202080832332933030e-02
2.932288767687093317e-02,5.242096838735494507e-02
2.937180864985807285e-02,5.282112845138055290e-02
2.950478900946739216e-02,5.322128851540616074e-02
2.961581950495876386e-02,5.362144857943177551e-02
2.976308035404727839e-02,5.402160864345738334e-02
2.995269629917961599e-02,5.442176870748299117e-02
2.996878414500019419e-02,5.482192877150860594e-02
3.027738102807805629e-02,5.522208883553421377e-02
3.033956194363473385e-02,5.562224889955982160e-02
3.056910051599978639e-02,5.602240896358543637e-02
3.073085083745464435e-02,5.642256902761104420e-02
3.119510202528497436e-02,5.682272909163665203e-02
3.130093175116067938e-02,5.722288915566226680e-02
3.150878062985505712e-02,5.762304921968787463e-02
3.165466309619190122e-02,5.802320928371348246e-02
3.167414985893352714e-02,5.842336934773909723e-02
