# Data,Probability
9.765778344231278163e-03,0.000000000000000000e+00
1.971005328777430607e-02,4.001600640256102706e-04
1.978789090496016478e-02,8.003201280512205413e-04
1.982591100242296622e-02,1.200480192076830649e-03
2.093245433131354222e-02,1.600640256102441083e-03
2.103066748148290158e-02,2.000800320128051299e-03
2.120620433291732151e-02,2.400960384153661299e-03
2.223050729365574213e-02,2.801120448179271732e-03
2.245729690497886427e-02,3.201280512204882165e-03
2.369517495081321229e-02,3.601440576230492165e-03
2.372406332054494138e-02,4.001600640256102598e-03
2.404509025778069076e-02,4.401760704281713031e-03
2.501886600113182799e-02,4.801920768307322597e-03
2.506880123023604370e-02,5.202080832332933030e-03
2.562966656188682760e-02,5.602240896358543464e-03
2.854975695657652537e-02,6.002400960384153897e-03
2.889245358458465696e-02,6.402561024409764330e-03
2.986660030634348886e-02,6.802721088435373896e-03
3.004054982463546727e-02,7.202881152460984329e-03
3.064003023599946515e-02,7.603041216486594762e-03
3.079174297123936713e-02,8.003201280512205196e-03
3.086538828428475253e-02,8.403361344537814762e-03
3.159403572699693435e-02,8.803521408563426062e-03
3.206132263291045642e-02,9.203681472589035628e-03
3.212039000560965030e-02,9.603841536614645194e-03
3.298413921920897302e-02,1.000400160064025649e-02
3.323005573175024513e-02,1.040416166466586606e-02
3.431413189487739906e-02,1.080432172869147736e-02
3.470221035487738859e-02,1.120448179271708693e-02
3.572544846136485597e-02,1.160464185674269649e-02
3.573267161261200336e-02,1.200480192076830779e-02
3.663485203889942088e-02,1.240496198479391736e-02
3.675156794426241019e-02,1.280512204881952866e-02
3.687814673230848522e-02,1.320528211284513823e-02
3.705941394540529510e-02,1.360544217687074779e-02
3.779569476205422301e-02,1.400560224089635909e-02
3.785346442431476027e-02,1.440576230492196866e-02
3.804106470992313360e-02,1.480592236894757822e-02
3.831503716455901543e-02,1.520608243297318952e-02
3.835288819928920484e-02,1.560624249699879909e-02
3.863254223027836470e-02,1.600640256102441039e-02
3.893838220004515460e-02,1.640656262505002169e-02
3.914843685099325676e-02,1.680672268907562952e-02
3.915884834090025551e-02,1.720688275310124082e-02
3.939141538544684712e-02,1.760704281712685212e-02
3.988476870080508857e-02,1.800720288115245996e-02
3.994005767252212930e-02,1.840736294517807126e-02
4.039937162925879427e-02,1.880752300920368256e-02
4.075781446879411102e-02,1.920768307322929039e-02
4.166349528906398286e-02,1.960784313725490169e-02
4.180021225687270692e-02,2.000800320128051299e-02
